batch_id,announcement_id,stock_code,stock_name,title,publish_time,announcement_type_raw,announcement_type,action,need_ai,need_pdf,pre_score,matched_keywords,event_type,primary_theme_id,primary_theme_name,trade_priority,final_score,risk_flags,related_stocks_count,validation_errors,postprocess_notes,error_tags,processing_status
cninfo_20260614_173054,1225370162,300479.SZ,神思电子,董事会秘书工作细则,2026-06-15T00:00:00,01010503||010112||010115||013105||013199,governance_policy_revision,archive,False,False,8,工作细则,governance_policy_revision,,,watch,8,,1,,,,success
cninfo_20260614_173054,1225370161,300479.SZ,神思电子,关于召开2026年第二次临时股东会的通知,2026-06-15T00:00:00,01010503||010112||010115||011901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370160,300479.SZ,神思电子,第五届董事会2026年第五次会议决议的公告,2026-06-15T00:00:00,01010503||010112||010115||01239901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370159,300681.SZ,英搏尔,关于全资子公司股权转让完成的公告,2026-06-15T00:00:00,01010503||010112||010115||011507,asset_or_equity_transfer,watch,True,True,65,股权转让完成,asset_or_equity_transfer,,,candidate,65,,1,,当前阶段：标题级处理，未进行PDF全文解析,,success
cninfo_20260614_173054,1225370158,300523.SZ,辰安科技,关于2026年度董事、高级管理人员薪酬方案的公告,2026-06-15T00:00:00,01010503||010112||010115||012399,unclassified,watch,False,False,18,,unclassified,,,watch,18,,1,,,,success
cninfo_20260614_173054,1225370157,300523.SZ,辰安科技,董事、高级管理人员薪酬管理制度（2026年6月）,2026-06-15T00:00:00,01010503||010112||010115||013105||013199,governance_policy_revision,archive,False,False,8,管理制度,governance_policy_revision,,,watch,8,,1,,,,success
cninfo_20260614_173054,1225370156,300523.SZ,辰安科技,关于召开2026年第二次临时股东会的通知,2026-06-15T00:00:00,01010503||010112||010115||011901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370155,300523.SZ,辰安科技,第四届董事会第二十六次会议决议公告,2026-06-15T00:00:00,01010503||010112||010115||01239901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370154,301061.SZ,匠心家居,关于举办2025年度暨2026年第一季度网上业绩说明会的公告,2026-06-15T00:00:00,01010503||010112||010115||012399,earnings_briefing_notice,archive,False,False,12,业绩说明会,earnings_briefing_notice,,,watch,12,,1,,,,success
cninfo_20260614_173054,1225370153,688177.SH,百奥泰,百奥泰 关于永和工厂EU GMP检查情况的公告,2026-06-15T00:00:00,01010501||010123||012399,pharma_regulatory_progress,analyze,True,True,70,EU GMP,pharma_regulatory_progress,,,high,70,,1,,当前阶段：标题级处理，未进行PDF全文解析,,success
cninfo_20260614_173054,1225370152,600861.SH,北京人力,北京人力第十届董事会第二十六次会议决议公告,2026-06-15T00:00:00,01010503||010113||01239901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370151,605500.SH,森林包装,森林包装集团股份有限公司第三届董事会第二十次会议决议公告,2026-06-15T00:00:00,01010503||010113||01239901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370150,603268.SH,松发股份,关于向特定对象发行股票申请获得中国证监会同意注册批复的公告,2026-06-15T00:00:00,01010503||010113||010703,unclassified,watch,False,False,18,,unclassified,,,watch,18,,1,,,,success
cninfo_20260614_173054,1225370149,605500.SH,森林包装,独立董事提名人声明与承诺（林启法）,2026-06-15T00:00:00,01010503||010113||012303,unclassified,watch,False,False,18,,unclassified,,,watch,18,,1,,,,success
cninfo_20260614_173054,1225370148,600861.SH,北京人力,北京人力董事辞职暨选举董事的公告,2026-06-15T00:00:00,01010503||010113||012303,unclassified,watch,False,False,18,,unclassified,,,watch,18,,1,,,,success
cninfo_20260614_173054,1225370147,605500.SH,森林包装,独立董事候选人声明与承诺(胡苏芬),2026-06-15T00:00:00,01011199||010113||012303,unclassified,watch,False,False,18,,unclassified,,,watch,18,,1,,,,success
