theme_id,theme_name,primary_index_code,etf_code,etf_name,benchmark,match_type,list_date
compute,算力基础设施,931865.CSI,512760.SH,芯片ETF国泰,中华交易服务半导体芯片行业指数收益率,keyword:半导,20190612
compute,算力基础设施,931865.CSI,512480.SH,半导体ETF国联安,中证全指半导体产品与设备指数收益率,keyword:半导,20190612
robot,机器人,H30590.CSI,159272.SZ,机器人ETF富国,国证机器人产业指数收益率,keyword:机器人,20250919
robot,机器人,H30590.CSI,560770.SH,机器人ETF招商,中证机器人指数收益率,keyword:机器人,20250901
robot,机器人,H30590.CSI,159278.SZ,机器人ETF鹏华,国证机器人产业指数收益率,keyword:机器人,20250812
robot,机器人,H30590.CSI,159258.SZ,机器人ETF南方,中证机器人指数收益率,keyword:机器人,20250801
robot,机器人,H30590.CSI,159213.SZ,机器人ETF汇添富,中证机器人指数收益率,keyword:机器人,20250430
robot,机器人,H30590.CSI,560630.SH,机器人ETF万家,中证机器人指数收益率,keyword:机器人,20250401
robot,机器人,H30590.CSI,159526.SZ,机器人ETF嘉实,中证机器人指数收益率,keyword:机器人,20240424
robot,机器人,H30590.CSI,159530.SZ,机器人ETF易方达,国证机器人产业指数收益率,keyword:机器人,20240118
robot,机器人,H30590.CSI,159559.SZ,机器人ETF景顺,国证机器人产业指数收益率,keyword:机器人,20231212
robot,机器人,H30590.CSI,159551.SZ,机器人ETF国泰,中证机器人指数收益率,keyword:机器人,20231116
robot,机器人,H30590.CSI,562500.SH,机器人ETF华夏,中证机器人指数收益率,keyword:机器人,20211229
robot,机器人,H30590.CSI,159770.SZ,机器人ETF天弘,中证机器人指数收益率,keyword:机器人,20211108
robot,机器人,H30590.CSI,562360.SH,机器人ETF银华,中证机器人指数收益率,keyword:机器人,20211015
satellite,卫星产业,931594.CSI,563790.SH,卫星ETF鹏华,中证卫星产业指数收益率,keyword:卫星,20260105
satellite,卫星产业,931594.CSI,563530.SH,卫星ETF易方达,中证卫星产业指数收益率,keyword:卫星,20251114
satellite,卫星产业,931594.CSI,512630.SH,卫星ETF广发,同期中证卫星产业指数收益率,keyword:卫星,20251022
satellite,卫星产业,931594.CSI,563230.SH,卫星ETF富国,中证卫星产业指数收益率,keyword:卫星,20250917
satellite,卫星产业,931594.CSI,159218.SZ,卫星ETF招商,中证卫星产业指数收益率,keyword:卫星,20250522
satellite,卫星产业,931594.CSI,159206.SZ,卫星ETF永赢,国证商用卫星通信产业指数收益率,keyword:卫星,20250314
ev,新能源车,399417.SZ,159183.SZ,新能源车ETF招商,中证新能源汽车指数收益率,keyword:新能源汽车,20260324
ev,新能源车,399417.SZ,159156.SZ,电池ETF万家,国证新能源车电池指数收益率,keyword:新能源车,20260212
ev,新能源车,399417.SZ,159637.SZ,新能源车ETF东财,中证新能源汽车指数收益率,keyword:新能源汽车,20220901
ev,新能源车,399417.SZ,159775.SZ,电池ETF建信,国证新能源车电池指数收益率,keyword:新能源车,20220124
ev,新能源车,399417.SZ,159767.SZ,电池龙头ETF兴银,国证新能源车电池指数收益率,keyword:新能源车,20210823
ev,新能源车,399417.SZ,159840.SZ,锂电池ETF工银,国证新能源车电池指数收益率,keyword:新能源车,20210820
ev,新能源车,399417.SZ,159757.SZ,电池ETF景顺,国证新能源车电池指数收益率,keyword:新能源车,20210809
ev,新能源车,399417.SZ,159755.SZ,电池ETF广发,国证新能源车电池指数收益率,keyword:新能源车,20210624
ev,新能源车,399417.SZ,516390.SH,新能源车ETF汇添富,中证新能源汽车产业指数收益率,keyword:新能源汽车,20210618
ev,新能源车,399417.SZ,516660.SH,新能源车ETF华安,中证新能源汽车指数收益率,keyword:新能源汽车,20210226
ev,新能源车,399417.SZ,159824.SZ,新能源车ETF博时,中证新能源汽车指数收益率,keyword:新能源汽车,20210111
ev,新能源车,399417.SZ,159806.SZ,新能源车ETF国泰,中证新能源汽车指数收益率,keyword:新能源汽车,20200320
ev,新能源车,399417.SZ,515030.SH,新能源车ETF华夏,中证新能源汽车指数收益率,keyword:新能源汽车,20200304
ev,新能源车,399417.SZ,515700.SH,新能源车ETF平安,中证新能源汽车产业指数收益率,keyword:新能源汽车,20200210
ev,新能源车,399417.SZ,501057.SH,新能源车LOF,中证新能源汽车产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,keyword:新能源汽车,20180620
ev,新能源车,399417.SZ,501058.SH,新能源车LOFC,中证新能源汽车产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,keyword:新能源汽车,20180620
ev,新能源车,399417.SZ,160225.SZ,新能源汽车LOF,国证新能源汽车指数收益率*95%+银行活期存款利率(税后)*5%,keyword:新能源汽车,20160720
ev,新能源车,399417.SZ,161028.SZ,新能源车LOF,中证新能源汽车指数收益率*95%+银行人民币活期存款利率(税后)*5%,keyword:新能源汽车,20210118
solar,光伏,931151.CSI,560310.SH,光伏ETF博时,中证光伏产业指数收益率,keyword:光伏,20260302
solar,光伏,931151.CSI,560230.SH,光伏ETF富国,中证光伏产业指数收益率,keyword:光伏,20260206
solar,光伏,931151.CSI,516230.SH,光伏ETF招商,中证光伏产业指数收益率,keyword:光伏,20260203
solar,光伏,931151.CSI,159123.SZ,光伏ETF嘉实,中证光伏产业指数收益率,keyword:光伏,20251127
solar,光伏,931151.CSI,515370.SH,光伏ETF华夏,中证光伏产业指数收益率,keyword:光伏,20251118
solar,光伏,931151.CSI,562970.SH,光伏ETF易方达,中证光伏产业指数收益率,keyword:光伏,20241107
solar,光伏,931151.CSI,560980.SH,光伏龙头ETF广发,中证光伏龙头30指数收益率,keyword:光伏,20221129
solar,光伏,931151.CSI,159609.SZ,光伏ETF浦银,中证光伏产业指数收益率,keyword:光伏,20220708
solar,光伏,931151.CSI,159618.SZ,光伏ETF华安,中证光伏产业指数收益率,keyword:光伏,20220422
solar,光伏,931151.CSI,516290.SH,光伏ETF汇添富,中证光伏产业指数收益率,keyword:光伏,20210823
solar,光伏,931151.CSI,159864.SZ,光伏ETF国泰,中证光伏产业指数收益率,keyword:光伏,20210810
solar,光伏,931151.CSI,159863.SZ,光伏ETF鹏华,中证光伏产业指数收益率,keyword:光伏,20210311
solar,光伏,931151.CSI,516180.SH,光伏ETF平安,中证光伏产业指数收益率,keyword:光伏,20210303
solar,光伏,931151.CSI,159857.SZ,光伏ETF天弘,中证光伏产业指数收益率,keyword:光伏,20210224
solar,光伏,931151.CSI,516880.SH,光伏ETF银华,中证光伏产业指数收益率,keyword:光伏,20210118
solar,光伏,931151.CSI,515790.SH,光伏ETF华泰柏瑞,中证光伏产业指数收益率,keyword:光伏,20201218
power_grid,电网设备,931663.CSI,560390.SH,电网设备ETF易方达,恒生A股电网设备指数收益率,keyword:电网,20260304
power_grid,电网设备,931663.CSI,159320.SZ,电网设备ETF广发,同期恒生A股电网设备指数收益率,keyword:电网,20241224
power_grid,电网设备,931663.CSI,561380.SH,电网设备ETF国泰,恒生A股电网设备指数收益率,keyword:电网,20241223
power_grid,电网设备,931663.CSI,159326.SZ,电网设备ETF华夏,中证电网设备主题指数收益率,keyword:电网,20240909
battery,电池,881281.WI,159193.SZ,新能源电池ETF银华,国证新能源电池指数收益率,keyword:电池,20260506
battery,电池,881281.WI,560410.SH,电池ETF鹏华,中证电池主题指数收益率,keyword:电池,20260417
battery,电池,881281.WI,159160.SZ,电池ETF东财,中证电池主题指数收益率,keyword:电池,20260327
battery,电池,881281.WI,512460.SH,电池ETF华夏,中证电池主题指数收益率,keyword:电池,20260320
battery,电池,881281.WI,159175.SZ,电池ETF易方达,中证电池主题指数收益率,keyword:电池,20260305
battery,电池,881281.WI,159156.SZ,电池ETF万家,国证新能源车电池指数收益率,keyword:电池,20260212
battery,电池,881281.WI,159147.SZ,电池ETF南方,中证电池主题指数收益率,keyword:电池,20260123
battery,电池,881281.WI,159155.SZ,电池ETF大成,中证电池主题指数收益率,keyword:电池,20260121
battery,电池,881281.WI,159305.SZ,储能电池ETF广发,国证新能源电池指数同期收益率,keyword:电池,20240927
battery,电池,881281.WI,159566.SZ,储能电池ETF易方达,国证新能源电池指数收益率,keyword:电池,20240208
battery,电池,881281.WI,561160.SH,电池ETF富国,中证电池主题指数收益率,keyword:电池,20220708
battery,电池,881281.WI,159796.SZ,电池ETF汇添富,中证电池主题指数收益率,keyword:电池,20220314
battery,电池,881281.WI,159775.SZ,电池ETF建信,国证新能源车电池指数收益率,keyword:电池,20220124
